UF,Nome,Masculino18a24,Masculino18a24(%),Feminino18a24,Feminino18a24(%),Masculino25a29,Masculino25a29(%),Feminino25a29,Feminino25a29(%),Total,latitude,longitude
AC,Acre,3055,0.5932038834951456,302,0.058640776699029125,1679,0.32601941747572816,114,0.022135922330097087,5150,-8.77,-70.55
AL,Alagoas,2660,0.5491329479768786,153,0.03158546655656482,1944,0.40132122213047067,87,0.017960363336085878,4844,-9.62,-36.82
AP,Amapá,742,0.4840182648401826,19,0.012393998695368558,750,0.4892367906066536,22,0.014350945857795172,1533,1.41,-51.77
AM,Amazonas,2553,0.5396322130627774,100,0.02113718030014796,1970,0.4164024519129148,108,0.022828154724159798,4731,-3.47,-65.1
BA,Bahia,4785,0.5716845878136201,159,0.01899641577060932,3294,0.3935483870967742,132,0.015770609318996417,8370,-13.29,-41.71
CE,Ceará,6706,0.4844325651954056,383,0.027667413132991404,6441,0.4652893158997327,313,0.02261070577187026,13843,-5.2,-39.53
DF,Distrito Federal,3613,0.4785430463576159,141,0.018675496688741723,3648,0.4831788079470199,148,0.01960264900662252,7550,-15.83,-47.86
ES,Espírito Santo,4678,0.5545282124229493,164,0.01944049312470365,3435,0.40718349928876246,159,0.018847795163584636,8436,-19.19,-40.34
GO,Goiás,3105,0.4800556586270872,145,0.022418058132343845,3045,0.4707792207792208,173,0.026747062461348177,6468,-15.98,-49.86
MA,Maranhão,3108,0.555793991416309,70,0.01251788268955651,2352,0.4206008583690987,62,0.011087267525035766,5592,-5.42,-45.44
MT,Mato Grosso,1126,0.452572347266881,101,0.040594855305466235,1207,0.48512861736334406,54,0.021704180064308683,2488,-12.64,-55.42
MS,Mato Grosso do Sul,3218,0.44003828798030903,238,0.03254478326268289,3652,0.49938465745931904,205,0.028032271297689048,7313,-20.51,-54.54
MG,Minas Gerais,16793,0.5156446709859673,748,0.022968035127583136,14407,0.44238032364049495,619,0.019006970245954494,32567,-18.1,-44.38
PA,Pará,5962,0.5242701371790363,373,0.032799859303552586,4769,0.4193633485754485,268,0.023566654941962716,11372,-3.79,-52.48
PB,Paraiba,3237,0.5264270613107822,202,0.032850870060172385,2537,0.4125874125874126,173,0.028134656041632785,6149,-7.28,-36.72
PR,Paraná,4851,0.4830230010952902,201,0.02001394005775167,4854,0.4833217166185403,137,0.013641342228417803,10043,-24.89,-51.55
PE,Pernambuco,4814,0.5544805344390693,216,0.0248790601243953,3447,0.3970283344851417,205,0.02361207095139369,8682,-8.38,-37.86
PI,Piauí,953,0.5734055354993983,20,0.012033694344163659,669,0.40252707581227437,20,0.012033694344163659,1662,-6.6,-42.28
RJ,Rio de Janeiro,19735,0.5997933319150229,857,0.026046257180196333,11802,0.3586906968969395,509,0.01546971400784123,32903,-22.25,-42.66
RN,Rio Grande do Norte,1249,0.5060777957860616,150,0.060777957860615885,995,0.40316045380875204,74,0.029983792544570502,2468,-5.81,-36.59
RS,Rio Grande do Sul,1213,0.4690641918020108,68,0.026295436968290797,1233,0.4767981438515081,72,0.027842227378190254,2586,-30.17,-53.5
RO,Rondônia,2513,0.4797632684230622,139,0.026536846124474992,2438,0.4654448262695685,148,0.028255059182894234,5238,-10.83,-63.34
RR,Roraima,655,0.5093312597200622,41,0.03188180404354588,544,0.4230171073094868,46,0.03576982892690513,1286,1.99,-61.33
SC,Santa Catarina,3722,0.4679406587880312,202,0.02539602715614785,3854,0.4845360824742268,176,0.022127231581594166,7954,-27.45,-50.95
SP,São Paulo,56247,0.5138918074424639,2389,0.02182672014471965,48594,0.4439713849780271,2223,0.020310087434789362,109453,-22.19,-48.79
SE,Sergipe,1480,0.574088440651668,56,0.021722265321955005,981,0.3805275407292475,61,0.023661753297129558,2578,-10.57,-37.45
TO,Tocantins,459,0.5139977603583427,44,0.04927211646136618,366,0.40985442329227323,24,0.026875699888017916,893,-9.46,-48.26
