UF,Nome,Não,Não(%),Sim,Sim(%),Total,latitude,longitude
AC,Acre,10,0.7142857142857143,4,0.2857142857142857,14,-8.77,-70.55
AL,Alagoas,6,0.6,4,0.4,10,-9.62,-36.82
AP,Amapá,5,0.7142857142857143,2,0.2857142857142857,7,1.41,-51.77
AM,Amazonas,9,0.47368421052631576,10,0.5263157894736842,19,-3.47,-65.1
BA,Bahia,4,0.16,21,0.84,25,-13.29,-41.71
CE,Ceará,128,0.9343065693430657,9,0.06569343065693431,137,-5.2,-39.53
DF,Distrito Federal,0,0.0,7,1.0,7,-15.83,-47.86
ES,Espírito Santo,5,0.14705882352941177,29,0.8529411764705882,34,-19.19,-40.34
GO,Goiás,97,0.8151260504201681,22,0.18487394957983194,119,-15.98,-49.86
MA,Maranhão,36,0.72,14,0.28,50,-5.42,-45.44
MT,Mato Grosso,28,0.5185185185185185,26,0.48148148148148145,54,-12.64,-55.42
MS,Mato Grosso do Sul,15,0.3488372093023256,28,0.6511627906976745,43,-20.51,-54.54
MG,Minas Gerais,121,0.5148936170212766,114,0.4851063829787234,235,-18.1,-44.38
PA,Pará,29,0.5918367346938775,20,0.40816326530612246,49,-3.79,-52.48
PB,Paraiba,60,0.7692307692307693,18,0.23076923076923078,78,-7.28,-36.72
PR,Paraná,3,0.09375,29,0.90625,32,-24.89,-51.55
PE,Pernambuco,59,0.7662337662337663,18,0.23376623376623376,77,-8.38,-37.86
PI,Piauí,11,0.6875,5,0.3125,16,-6.6,-42.28
RJ,Rio de Janeiro,14,0.28,36,0.72,50,-22.25,-42.66
RN,Rio Grande do Norte,11,0.5238095238095238,10,0.47619047619047616,21,-5.81,-36.59
RS,Rio Grande do Sul,52,0.47706422018348627,57,0.5229357798165137,109,-30.17,-53.5
RO,Rondônia,28,0.5490196078431373,23,0.45098039215686275,51,-10.83,-63.34
RR,Roraima,5,0.8333333333333334,1,0.16666666666666666,6,1.99,-61.33
SC,Santa Catarina,11,0.21568627450980393,40,0.7843137254901961,51,-27.45,-50.95
SP,São Paulo,1,0.005847953216374269,170,0.9941520467836257,171,-22.19,-48.79
SE,Sergipe,4,0.4444444444444444,5,0.5555555555555556,9,-10.57,-37.45
TO,Tocantins,31,0.775,9,0.225,40,-9.46,-48.26
