UF,Nome,Casado,Casado(%),SeparadoJudicialmente,SeparadoJudicialmente(%),Divorciado,Divorciado(%),Viuvo,Viuvo(%),Solteiro,Solteiro(%),Total,latitude,longitude
AC,Acre,30882,0.144,486,0.002,1126,0.005,332,0.002,181911,0.847,214737,-8.77,-70.55
AL,Alagoas,137199,0.157,3305,0.004,4388,0.005,1728,0.002,728449,0.832,875069,-9.62,-36.82
AP,Amapá,16331,0.079,400,0.002,435,0.002,193,0.001,188158,0.916,205517,1.41,-51.77
AM,Amazonas,108184,0.105,2929,0.003,3283,0.003,1273,0.001,912058,0.887,1027727,-3.47,-65.1
BA,Bahia,476694,0.121,9687,0.002,11561,0.003,5231,0.001,3436056,0.872,3939229,-13.29,-41.71
CE,Ceará,350430,0.145,8396,0.003,8282,0.003,3525,0.001,2041852,0.846,2412485,-5.2,-39.53
DF,Distrito Federal,107410,0.146,3267,0.004,4059,0.006,929,0.001,617672,0.842,733337,-15.83,-47.86
ES,Espírito Santo,184364,0.195,4927,0.005,6589,0.007,1645,0.002,749991,0.792,947516,-19.19,-40.34
GO,Goiás,300627,0.183,6771,0.004,12783,0.008,2817,0.002,1321182,0.804,1644180,-15.98,-49.86
MA,Maranhão,224101,0.116,5352,0.003,5261,0.003,3377,0.002,1695425,0.877,1933516,-5.42,-45.44
MT,Mato Grosso,131414,0.154,3334,0.004,4584,0.005,1436,0.002,713665,0.835,854433,-12.64,-55.42
MS,Mato Grosso do Sul,106284,0.16,3214,0.005,4951,0.007,886,0.001,547841,0.826,663176,-20.51,-54.54
MG,Minas Gerais,863840,0.168,27773,0.005,30253,0.006,7175,0.001,4227154,0.82,5156195,-18.1,-44.38
PA,Pará,204356,0.091,4647,0.002,5404,0.002,3100,0.001,2026272,0.903,2243779,-3.79,-52.48
PB,Paraiba,163454,0.159,3848,0.004,5584,0.005,1943,0.002,851505,0.83,1026334,-7.28,-36.72
PR,Paraná,498997,0.184,14328,0.005,18247,0.007,3652,0.001,2173885,0.802,2709109,-24.89,-51.55
PE,Pernambuco,365347,0.152,7123,0.003,10497,0.004,4443,0.002,2023624,0.839,2411034,-8.38,-37.86
PI,Piauí,126509,0.144,3173,0.004,3163,0.004,1146,0.001,745500,0.848,879491,-6.6,-42.28
RJ,Rio de Janeiro,525550,0.133,14699,0.004,19587,0.005,5833,0.001,3371596,0.856,3937265,-22.25,-42.66
RN,Rio Grande do Norte,117483,0.131,2914,0.003,3340,0.004,1337,0.001,769750,0.86,894824,-5.81,-36.59
RS,Rio Grande do Sul,336253,0.127,12796,0.005,11797,0.004,3114,0.001,2276377,0.862,2640337,-30.17,-53.5
RO,Rondônia,78084,0.172,1763,0.004,3257,0.007,652,0.001,369434,0.815,453190,-10.83,-63.34
RR,Roraima,16910,0.127,438,0.003,844,0.006,180,0.001,114887,0.862,133259,1.99,-61.33
SC,Santa Catarina,282260,0.168,9812,0.006,9859,0.006,2065,0.001,1373725,0.819,1677721,-27.45,-50.95
SP,São Paulo,1814212,0.169,66163,0.006,72149,0.007,15292,0.001,8760750,0.817,10728566,-22.19,-48.79
SE,Sergipe,69047,0.117,1766,0.003,2323,0.004,784,0.001,518286,0.875,592206,-10.57,-37.45
TO,Tocantins,56549,0.143,1384,0.003,1969,0.005,549,0.001,335885,0.847,396336,-9.46,-48.26
