UF,Nome,FilhosNascidosVivos,FilhosNascidosVivos(%),FilhosNaoNascidosVivos,FilhosNaoNascidosVivos(%),Total,latitude,longitude
AC,Acre,52500,0.487,55239,0.513,107739,-8.77,-70.55
AL,Alagoas,190434,0.426,256936,0.574,447370,-9.62,-36.82
AP,Amapá,48115,0.463,55726,0.537,103841,1.41,-51.77
AM,Amazonas,236687,0.461,276978,0.539,513665,-3.47,-65.1
BA,Bahia,790466,0.399,1191503,0.601,1981969,-13.29,-41.71
CE,Ceará,457869,0.376,758356,0.624,1216225,-5.2,-39.53
DF,Distrito Federal,119608,0.317,257502,0.683,377110,-15.83,-47.86
ES,Espírito Santo,174019,0.368,298452,0.632,472471,-19.19,-40.34
GO,Goiás,330446,0.403,488525,0.597,818971,-15.98,-49.86
MA,Maranhão,442001,0.456,528338,0.544,970339,-5.42,-45.44
MT,Mato Grosso,183256,0.436,237152,0.564,420408,-12.64,-55.42
MS,Mato Grosso do Sul,140156,0.425,189586,0.575,329742,-20.51,-54.54
MG,Minas Gerais,861689,0.336,1701150,0.664,2562839,-18.1,-44.38
PA,Pará,524734,0.469,593692,0.531,1118426,-3.79,-52.48
PB,Paraiba,204900,0.396,311955,0.604,516855,-7.28,-36.72
PR,Paraná,503021,0.372,848495,0.628,1351516,-24.89,-51.55
PE,Pernambuco,479716,0.393,742270,0.607,1221986,-8.38,-37.86
PI,Piauí,181884,0.41,261408,0.59,443292,-6.6,-42.28
RJ,Rio de Janeiro,668651,0.336,1318837,0.664,1987488,-22.25,-42.66
RN,Rio Grande do Norte,176864,0.396,270205,0.604,447069,-5.81,-36.59
RS,Rio Grande do Sul,430963,0.328,883866,0.672,1314829,-30.17,-53.5
RO,Rondônia,101443,0.45,123819,0.55,225262,-10.83,-63.34
RR,Roraima,31210,0.47,35244,0.53,66454,1.99,-61.33
SC,Santa Catarina,284579,0.344,543028,0.656,827607,-27.45,-50.95
SP,São Paulo,1757503,0.329,3588658,0.671,5346161,-22.19,-48.79
SE,Sergipe,115376,0.384,184770,0.616,300146,-10.57,-37.45
TO,Tocantins,90626,0.461,106101,0.539,196727,-9.46,-48.26
