UF,Nome,Alfabetizado,Alfabetizado(%),NaoAlfabetizado,NaoAlfabetizado(%),Total,latitude,longitude
AC, Acre,218297,0.966,7707,0.034,226004,-8.77,-70.55
AL, Alagoas,784021,0.958,33978,0.042,817999,-9.62,-36.82
AP, Amapá,207587,1.0,0,0.0,207587,1.41,-51.77
AM, Amazonas,1059070,0.985,15622,0.015,1074692,-3.47,-65.1
BA, Bahia,3539681,0.976,86209,0.024,3625890,-13.29,-41.71
CE, Ceará,2242463,0.978,49749,0.022,2292212,-5.2,-39.53
DF, Distrito Federal,724979,1.0,0,0.0,724979,-15.83,-47.86
ES, Espírito Santo,861731,1.0,0,0.0,861731,-19.19,-40.34
GO, Goiás,1562075,0.994,9043,0.006,1571118,-15.98,-49.86
MA, Maranhão,1723459,0.961,69148,0.039,1792607,-5.42,-45.44
MT, Mato Grosso,780747,1.0,0,0.0,780747,-12.64,-55.42
MS, Mato Grosso do Sul,629618,0.992,4860,0.008,634478,-20.51,-54.54
MG, Minas Gerais,4833482,0.992,38344,0.008,4871826,-18.1,-44.38
PA, Pará,2105066,0.984,34584,0.016,2139650,-3.79,-52.48
PB, Paraiba,930874,0.965,33609,0.035,964483,-7.28,-36.72
PR, Paraná,2601755,0.995,12285,0.005,2614040,-24.89,-51.55
PE, Pernambuco,2195462,0.97,67559,0.03,2263021,-8.38,-37.86
PI, Piauí,772809,0.976,19139,0.024,791948,-6.6,-42.28
RJ, Rio de Janeiro,3565233,0.993,26563,0.007,3591796,-22.25,-42.66
RN, Rio Grande do Norte,865435,0.978,19075,0.022,884510,-5.81,-36.59
RS, Rio Grande do Sul,2374947,0.993,15835,0.007,2390782,-30.17,-53.5
RO, Rondônia,449308,0.989,5134,0.011,454442,-10.83,-63.34
RR, Roraima,132676,1.0,0,0.0,132676,1.99,-61.33
SC, Santa Catarina,1515514,1.0,0,0.0,1515514,-27.45,-50.95
SP, São Paulo,10095342,0.995,52573,0.005,10147915,-22.19,-48.79
SE, Sergipe,577015,0.979,12467,0.021,589482,-10.57,-37.45
TO, Tocantins,357607,0.986,5064,0.014,362671,-9.46,-48.26
