UF,Nome,Estuda,Estuda(%),NaoEstuda,NaoEstuda(%),Total,latitude,longitude
RO,Rondônia,166921,0.381,270832,0.619,437753,-10.83,-63.34
AC,Acre,97959,0.457,116172,0.543,214131,-8.77,-70.55
AM,Amazonas,438692,0.423,598092,0.577,1036784,-3.47,-65.1
RR,Roraima,50175,0.398,75761,0.602,125936,1.99,-61.33
PA,Pará,820791,0.383,1320246,0.617,2141037,-3.79,-52.48
AP,Amapá,86931,0.406,126993,0.594,213924,1.41,-51.77
TO,Tocantins,144970,0.387,229446,0.613,374416,-9.46,-48.26
MA,Maranhão,668291,0.372,1126375,0.628,1794666,-5.42,-45.44
PI,Piauí,309684,0.41,446338,0.59,756022,-6.6,-42.28
CE,Ceará,748182,0.345,1420643,0.655,2168825,-5.2,-39.53
RN,Rio Grande do Norte,319986,0.395,489681,0.605,809667,-5.81,-36.59
PB,Paraiba,386290,0.411,554544,0.589,940834,-7.28,-36.72
PE,Pernambuco,804483,0.356,1455502,0.644,2259985,-8.38,-37.86
AL,Alagoas,314533,0.383,507415,0.617,821948,-9.62,-36.82
SE,Sergipe,216509,0.39,338715,0.61,555224,-10.57,-37.45
BA,Bahia,1384856,0.398,2092844,0.602,3477700,-13.29,-41.71
MG,Minas Gerais,1841745,0.382,2979674,0.618,4821419,-18.1,-44.38
ES,Espírito Santo,312650,0.361,554447,0.639,867097,-19.19,-40.34
RJ,Rio de Janeiro,1423952,0.397,2162443,0.603,3586395,-22.25,-42.66
SP,São Paulo,3824377,0.377,6317171,0.623,10141548,-22.19,-48.79
PR,Paraná,959595,0.382,1549550,0.618,2509145,-24.89,-51.55
SC,Santa Catarina,595908,0.387,943970,0.613,1539878,-27.45,-50.95
RS,Rio Grande do Sul,972446,0.404,1437535,0.596,2409981,-30.17,-53.5
MS,Mato Grosso do Sul,234562,0.384,376179,0.616,610741,-20.51,-54.54
MT,Mato Grosso,286568,0.364,500138,0.636,786706,-12.64,-55.42
GO,Goiás,629924,0.403,934247,0.597,1564171,-15.98,-49.86
DF,Distrito Federal,310003,0.461,362589,0.539,672592,-15.83,-47.86
