UF,Nome,Ocupado,Ocupado(%),Desocupado,Desocupado(%),NaoEconomicamenteAtivo,NaoEconomicamenteAtivo(%),Total,latitude,longitude
AC,Acre,106445,0.483,18296,0.083,95468,0.434,220209,-8.77,-70.55
AL,Alagoas,383796,0.452,95042,0.112,369866,0.436,848704,-9.62,-36.82
AP,Amapá,86966,0.404,28140,0.131,100022,0.465,215128,1.41,-51.77
AM,Amazonas,527877,0.504,88671,0.085,431291,0.412,1047839,-3.47,-65.1
BA,Bahia,1931433,0.525,362973,0.099,1382714,0.376,3677120,-13.29,-41.71
CE,Ceará,1191462,0.508,164474,0.07,989653,0.422,2345589,-5.2,-39.53
DF,Distrito Federal,388071,0.551,90964,0.129,225576,0.32,704611,-15.83,-47.86
ES,Espírito Santo,542188,0.572,69696,0.074,335943,0.354,947827,-19.19,-40.34
GO,Goiás,984334,0.61,111614,0.069,517628,0.321,1613576,-15.98,-49.86
MA,Maranhão,932616,0.519,131351,0.073,734482,0.408,1798449,-5.42,-45.44
MT,Mato Grosso,490222,0.586,42859,0.051,304050,0.363,837131,-12.64,-55.42
MS,Mato Grosso do Sul,413891,0.649,28713,0.045,195237,0.306,637841,-20.51,-54.54
MG,Minas Gerais,3012508,0.606,379333,0.076,1583080,0.318,4974921,-18.1,-44.38
PA,Pará,1114921,0.52,168088,0.078,860389,0.401,2143398,-3.79,-52.48
PB,Paraiba,483945,0.489,88673,0.09,416138,0.421,988756,-7.28,-36.72
PR,Paraná,1729158,0.651,161632,0.061,766671,0.288,2657461,-24.89,-51.55
PE,Pernambuco,1151400,0.503,191205,0.084,944850,0.413,2287455,-8.38,-37.86
PI,Piauí,408595,0.515,60973,0.077,323114,0.408,792682,-6.6,-42.28
RJ,Rio de Janeiro,1841198,0.5,311245,0.085,1530690,0.416,3683133,-22.25,-42.66
RN,Rio Grande do Norte,421784,0.491,119462,0.139,318347,0.37,859593,-5.81,-36.59
RS,Rio Grande do Sul,1575905,0.646,157666,0.065,706740,0.29,2440311,-30.17,-53.5
RO,Rondônia,265372,0.581,26528,0.058,165067,0.361,456967,-10.83,-63.34
RR,Roraima,63738,0.481,9055,0.068,59661,0.45,132454,1.99,-61.33
SC,Santa Catarina,1069361,0.697,76103,0.05,389212,0.254,1534676,-27.45,-50.95
SP,São Paulo,6298709,0.617,824554,0.081,3080848,0.302,10204111,-22.19,-48.79
SE,Sergipe,294680,0.511,52792,0.092,228868,0.397,576340,-10.57,-37.45
TO,Tocantins,203911,0.532,29856,0.078,149473,0.39,383240,-9.46,-48.26
