UF,Nome,PossuiCelular,PossuiCelular(%),NaoPossuiCelular,NaoPossuiCelular(%),Total,latitude,longitude
AC,Acre,169770,0.751,56234,0.249,226004,-8.77,-70.55
AL,Alagoas,642442,0.785,175557,0.215,817999,-9.62,-36.82
AP,Amapá,163436,0.778,46518,0.222,209954,1.41,-51.77
AM,Amazonas,794780,0.74,279912,0.26,1074692,-3.47,-65.1
BA,Bahia,2936967,0.81,688923,0.19,3625890,-13.29,-41.71
CE,Ceará,1831034,0.799,461178,0.201,2292212,-5.2,-39.53
DF,Distrito Federal,697400,0.959,30174,0.041,727574,-15.83,-47.86
ES,Espírito Santo,789776,0.913,75555,0.087,865331,-19.19,-40.34
GO,Goiás,1475722,0.939,95396,0.061,1571118,-15.98,-49.86
MA,Maranhão,1174782,0.655,617825,0.345,1792607,-5.42,-45.44
MT,Mato Grosso,714626,0.911,70063,0.089,784689,-12.64,-55.42
MS,Mato Grosso do Sul,592505,0.934,41973,0.066,634478,-20.51,-54.54
MG,Minas Gerais,4368804,0.897,503022,0.103,4871826,-18.1,-44.38
PA,Pará,1554113,0.726,585537,0.274,2139650,-3.79,-52.48
PB,Paraiba,839727,0.871,124756,0.129,964483,-7.28,-36.72
PR,Paraná,2414876,0.924,199164,0.076,2614040,-24.89,-51.55
PE,Pernambuco,1905934,0.842,357087,0.158,2263021,-8.38,-37.86
PI,Piauí,644481,0.814,147467,0.186,791948,-6.6,-42.28
RJ,Rio de Janeiro,3343032,0.931,248764,0.069,3591796,-22.25,-42.66
RN,Rio Grande do Norte,760883,0.86,123627,0.14,884510,-5.81,-36.59
RS,Rio Grande do Sul,2241631,0.938,149151,0.062,2390782,-30.17,-53.5
RO,Rondônia,380957,0.838,73485,0.162,454442,-10.83,-63.34
RR,Roraima,107263,0.799,27067,0.201,134330,1.99,-61.33
SC,Santa Catarina,1411617,0.927,110345,0.073,1521962,-27.45,-50.95
SP,São Paulo,9467934,0.933,679981,0.067,10147915,-22.19,-48.79
SE,Sergipe,509192,0.864,80290,0.136,589482,-10.57,-37.45
TO,Tocantins,311763,0.86,50908,0.14,362671,-9.46,-48.26
