UF,Nome,FaltaDeTempo,FaltaDeTempo(%),ProblemasDeSaude,ProblemasDeSaude(%),ProblemasFinanceiros,ProblemasFinanceiros(%),FaltaDeInstalacaoEsportiva,FaltaDeInstalacaoEsportiva(%),NaoTerCompanhia,NaoTerCompanhia(%),NaoGostarOuNaoQuerer,NaoGostarOuNaoQuerer(%),Outro,Outro(%),NaoAplicavel,NaoAplicavel(%),Total,latitude,longitude
AC,Acre,41513,0.195,8971,0.042,0.0,0.0,8696,0.041,0,0.0,69789,0.328,0,0.0,83969,0.394,212938,-8.77,-70.55
AL,Alagoas,172475,0.226,0,0.0,0.0,0.0,46420,0.061,0,0.0,306245,0.402,0,0.0,236976,0.311,762116,-9.62,-36.82
AP,Amapá,39830,0.216,0,0.0,0.0,0.0,11118,0.06,0,0.0,58774,0.319,0,0.0,74293,0.404,184015,1.41,-51.77
AM,Amazonas,245695,0.225,30245,0.028,23678.0,0.022,26913,0.025,18288,0.017,252083,0.231,0,0.0,496010,0.454,1092912,-3.47,-65.1
BA,Bahia,799675,0.224,100960,0.028,88409.0,0.025,182228,0.051,77941,0.022,958259,0.269,40872,0.011,1318620,0.37,3566964,-13.29,-41.71
CE,Ceará,598477,0.258,51958,0.022,0.0,0.0,76596,0.033,37139,0.016,746048,0.322,27661,0.012,781774,0.337,2319653,-5.2,-39.53
DF,Distrito Federal,198558,0.291,0,0.0,0.0,0.0,0,0.0,15701,0.023,203427,0.298,0,0.0,265656,0.389,683342,-15.83,-47.86
ES,Espírito Santo,246203,0.289,0,0.0,0.0,0.0,0,0.0,0,0.0,286905,0.337,0,0.0,318898,0.374,852006,-19.19,-40.34
GO,Goiás,457724,0.303,43135,0.029,32386.0,0.021,27176,0.018,0,0.0,366787,0.243,0,0.0,583557,0.386,1510765,-15.98,-49.86
MA,Maranhão,370612,0.216,95429,0.056,0.0,0.0,68506,0.04,0,0.0,567589,0.331,0,0.0,611939,0.357,1714075,-5.42,-45.44
MT,Mato Grosso,202626,0.268,0,0.0,0.0,0.0,37425,0.05,0,0.0,202543,0.268,0,0.0,312907,0.414,755501,-12.64,-55.42
MS,Mato Grosso do Sul,178179,0.288,21697,0.035,0.0,0.0,0,0.0,12965,0.021,190785,0.308,0,0.0,215744,0.348,619370,-20.51,-54.54
MG,Minas Gerais,1225543,0.25,164447,0.034,86754.0,0.018,167959,0.034,72516,0.015,1228425,0.25,62890,0.013,1895824,0.387,4904358,-18.1,-44.38
PA,Pará,411255,0.191,52150,0.024,30875.0,0.014,83681,0.039,40129,0.019,669028,0.311,27245,0.013,833579,0.388,2147942,-3.79,-52.48
PB,Paraiba,208773,0.236,62725,0.071,0.0,0.0,0,0.0,0,0.0,294725,0.333,0,0.0,318928,0.36,885151,-7.28,-36.72
PR,Paraná,747262,0.288,84758,0.033,31818.0,0.012,25970,0.01,32815,0.013,635503,0.245,30056,0.012,1007988,0.388,2596170,-24.89,-51.55
PE,Pernambuco,648715,0.287,59648,0.026,23594.0,0.01,54382,0.024,39807,0.018,749263,0.332,0,0.0,681349,0.302,2256758,-8.38,-37.86
PI,Piauí,165960,0.219,0,0.0,,0.0,24899,0.033,0,0.0,286794,0.379,0,0.0,279993,0.37,757646,-6.6,-42.28
RJ,Rio de Janeiro,993034,0.281,79458,0.022,81994.0,0.023,107856,0.03,66237,0.019,1124554,0.318,0,0.0,1083579,0.306,3536712,-22.25,-42.66
RN,Rio Grande do Norte,208661,0.277,0,0.0,0.0,0.0,0,0.0,0,0.0,259391,0.345,0,0.0,284463,0.378,752515,-5.81,-36.59
RS,Rio Grande do Sul,624538,0.261,91120,0.038,25378.0,0.011,38619,0.016,57397,0.024,597981,0.25,36657,0.015,919800,0.385,2391490,-30.17,-53.5
RO,Rondônia,114664,0.269,22376,0.053,0.0,0.0,0,0.0,0,0.0,163018,0.383,0,0.0,125634,0.295,425692,-10.83,-63.34
RR,Roraima,38886,0.328,0,0.0,0.0,0.0,0,0.0,0,0.0,35132,0.297,0,0.0,44438,0.375,118456,1.99,-61.33
SC,Santa Catarina,442936,0.3,55792,0.038,51466.0,0.035,48201,0.033,0,0.0,324212,0.22,0,0.0,552336,0.374,1474943,-27.45,-50.95
SP,São Paulo,3099592,0.31,245075,0.024,288795.0,0.029,215938,0.022,184446,0.018,2548841,0.255,109751,0.011,3314988,0.331,10007426,-22.19,-48.79
SE,Sergipe,128280,0.213,25319,0.042,17265.0,0.029,27420,0.046,16729,0.028,178710,0.297,0,0.0,208362,0.346,602085,-10.57,-37.45
TO,Tocantins,73970,0.206,9835,0.027,0.0,0.0,15313,0.043,0,0.0,132525,0.368,0,0.0,128148,0.356,359791,-9.46,-48.26
