UF,Nome,IndicacaoMedica,IndicacaoMedica(%),MelhorarManterDesenhoFisico,MelhorarManterDesenhoFisico(%),MelhorarQualidadeVida,MelhorarQualidadeVida(%),GostarDeCompetir,GostarDeCompetir(%),RelaxarOuDivertir,RelaxarOuDivertir(%),Socializar,Socializar(%),Outro,Outro(%),NaoAplicavel,NaoAplicavel(%),Total,latitude,longitude
AC,Acre,0,0.0,8947,0.041,9065,0.042,9600,0.044,52488,0.242,0,0.0,0,0,137149,0.631,217249,-8.77,-70.55
AL,Alagoas,0,0.0,62012,0.08,34555,0.045,43046,0.056,71793,0.093,0,0.0,0,0,561438,0.726,772844,-9.62,-36.82
AP,Amapá,0,0.0,12250,0.067,0,0.0,0,0.0,40014,0.218,0,0.0,0,0,131162,0.715,183426,1.41,-51.77
AM,Amazonas,0,0.0,61978,0.057,84757,0.078,83795,0.077,250109,0.231,0,0.0,0,0,603028,0.556,1083667,-3.47,-65.1
BA,Bahia,0,0.0,290336,0.082,186191,0.053,221843,0.063,533830,0.151,46753,0.013,0,0,2248344,0.637,3527297,-13.29,-41.71
CE,Ceará,0,0.0,130620,0.057,122021,0.054,103320,0.045,368360,0.162,0,0.0,0,0,1552510,0.682,2276831,-5.2,-39.53
DF,Distrito Federal,0,0.0,85209,0.12,60539,0.085,27508,0.039,65340,0.092,20768,0.029,0,0,452322,0.636,711686,-15.83,-47.86
ES,Espírito Santo,0,0.0,80465,0.096,58952,0.07,0,0.0,128284,0.153,0,0.0,0,0,571151,0.681,838852,-19.19,-40.34
GO,Goiás,0,0.0,172856,0.114,108779,0.072,100878,0.066,137563,0.091,42448,0.028,0,0,956612,0.63,1519136,-15.98,-49.86
MA,Maranhão,0,0.0,75788,0.044,79369,0.046,116212,0.067,301011,0.173,0,0.0,0,0,1164946,0.671,1737326,-5.42,-45.44
MT,Mato Grosso,0,0.0,57024,0.073,98224,0.126,34231,0.044,104023,0.134,0,0.0,0,0,485088,0.623,778590,-12.64,-55.42
MS,Mato Grosso do Sul,0,0.0,39623,0.063,47646,0.076,45476,0.072,69272,0.11,0,0.0,0,0,426270,0.678,628287,-20.51,-54.54
MG,Minas Gerais,79546,0.016,357012,0.073,457509,0.093,252888,0.052,619546,0.127,120288,0.025,0,0,3008534,0.615,4895323,-18.1,-44.38
PA,Pará,20191,0.009,112463,0.052,82921,0.039,140251,0.065,438100,0.204,36082,0.017,0,0,1314363,0.613,2144371,-3.79,-52.48
PB,Paraiba,0,0.0,60620,0.064,45731,0.048,86155,0.091,111550,0.117,0,0.0,0,0,647881,0.681,951937,-7.28,-36.72
PR,Paraná,0,0.0,226537,0.088,288872,0.113,144416,0.056,257880,0.1,61477,0.024,0,0,1588182,0.619,2567364,-24.89,-51.55
PE,Pernambuco,0,0.0,144260,0.064,121858,0.054,88054,0.039,264961,0.117,46497,0.021,0,0,1593372,0.705,2259002,-8.38,-37.86
PI,Piauí,0,0.0,55777,0.072,36782,0.048,35227,0.046,128370,0.166,0,0.0,0,0,515686,0.668,771842,-6.6,-42.28
RJ,Rio de Janeiro,0,0.0,245807,0.069,190105,0.054,154759,0.044,419578,0.118,49358,0.014,0,0,2483596,0.701,3543203,-22.25,-42.66
RN,Rio Grande do Norte,0,0.0,44669,0.055,18282,0.022,48409,0.06,157320,0.193,0,0.0,0,0,544888,0.67,813568,-5.81,-36.59
RS,Rio Grande do Sul,0,0.0,192658,0.081,171101,0.072,176189,0.074,317448,0.133,49813,0.021,0,0,1471690,0.619,2378899,-30.17,-53.5
RO,Rondônia,0,0.0,31135,0.072,16974,0.039,0,0.0,56578,0.131,0,0.0,0,0,326929,0.757,431616,-10.83,-63.34
RR,Roraima,0,0.0,6633,0.051,5452,0.042,7957,0.062,21617,0.168,0,0.0,0,0,87254,0.677,128913,1.99,-61.33
SC,Santa Catarina,0,0.0,114883,0.078,138377,0.094,65686,0.044,152657,0.103,56477,0.038,0,0,951569,0.643,1479649,-27.45,-50.95
SP,São Paulo,115319,0.012,629446,0.063,768505,0.077,498246,0.05,1092447,0.11,177949,0.018,0,0,6692438,0.671,9974350,-22.19,-48.79
SE,Sergipe,0,0.0,43691,0.077,0,0.0,31455,0.055,93370,0.164,0,0.0,0,0,401572,0.704,570088,-10.57,-37.45
TO,Tocantins,0,0.0,26714,0.075,13644,0.038,22732,0.064,55103,0.154,0,0.0,0,0,239755,0.67,357948,-9.46,-48.26
